fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=104.1007/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=68.5643/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=48.8433/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=5.3667/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=5.1370/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=136.5877/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=47.5016/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=125.3835/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=119.9953/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=68.1260/138.9321): api-node1
